id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_kesehatan,satuan,tahun
270,32,JAWA BARAT,3279,KOTA BANJAR,78.14,POIN,2019
271,32,JAWA BARAT,3201,KABUPATEN BOGOR,78.72,POIN,2020
272,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,78.42,POIN,2020
273,32,JAWA BARAT,3203,KABUPATEN CIANJUR,77.12,POIN,2020
274,32,JAWA BARAT,3204,KABUPATEN BANDUNG,82.35,POIN,2020
275,32,JAWA BARAT,3205,KABUPATEN GARUT,79.09,POIN,2020
276,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,76.11,POIN,2020
277,32,JAWA BARAT,3207,KABUPATEN CIAMIS,79.74,POIN,2020
278,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,82.45,POIN,2020
279,32,JAWA BARAT,3209,KABUPATEN CIREBON,79.98,POIN,2020
280,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,77.34,POIN,2020
281,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,80.66,POIN,2020
282,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,79.43,POIN,2020
283,32,JAWA BARAT,3213,KABUPATEN SUBANG,80.54,POIN,2020
284,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,78.45,POIN,2020
285,32,JAWA BARAT,3215,KABUPATEN KARAWANG,80.23,POIN,2020
286,32,JAWA BARAT,3216,KABUPATEN BEKASI,82.58,POIN,2020
287,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,80.52,POIN,2020
288,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,79.08,POIN,2020
289,32,JAWA BARAT,3271,KOTA BOGOR,82.48,POIN,2020
290,32,JAWA BARAT,3272,KOTA SUKABUMI,80.65,POIN,2020
291,32,JAWA BARAT,3273,KOTA BANDUNG,83.51,POIN,2020
292,32,JAWA BARAT,3274,KOTA CIREBON,80.4,POIN,2020
293,32,JAWA BARAT,3275,KOTA BEKASI,84.63,POIN,2020
294,32,JAWA BARAT,3276,KOTA DEPOK,83.75,POIN,2020
295,32,JAWA BARAT,3277,KOTA CIMAHI,83.12,POIN,2020
296,32,JAWA BARAT,3278,KOTA TASIKMALAYA,80.23,POIN,2020
297,32,JAWA BARAT,3279,KOTA BANJAR,78.45,POIN,2020
298,32,JAWA BARAT,3201,KABUPATEN BOGOR,79.02,POIN,2021
299,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,78.78,POIN,2021
300,32,JAWA BARAT,3203,KABUPATEN CIANJUR,77.42,POIN,2021
301,32,JAWA BARAT,3204,KABUPATEN BANDUNG,82.65,POIN,2021
302,32,JAWA BARAT,3205,KABUPATEN GARUT,79.37,POIN,2021
303,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,76.42,POIN,2021
304,32,JAWA BARAT,3207,KABUPATEN CIAMIS,80.03,POIN,2021
305,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,82.74,POIN,2021
306,32,JAWA BARAT,3209,KABUPATEN CIREBON,80.28,POIN,2021
307,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,77.63,POIN,2021
308,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,80.95,POIN,2021
309,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,79.75,POIN,2021
310,32,JAWA BARAT,3213,KABUPATEN SUBANG,80.89,POIN,2021
311,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,78.74,POIN,2021
312,32,JAWA BARAT,3215,KABUPATEN KARAWANG,80.51,POIN,2021
313,32,JAWA BARAT,3216,KABUPATEN BEKASI,82.78,POIN,2021
314,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,80.8,POIN,2021
315,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,79.38,POIN,2021
316,32,JAWA BARAT,3271,KOTA BOGOR,82.8,POIN,2021
317,32,JAWA BARAT,3272,KOTA SUKABUMI,80.89,POIN,2021
318,32,JAWA BARAT,3273,KOTA BANDUNG,83.78,POIN,2021
319,32,JAWA BARAT,3274,KOTA CIREBON,80.68,POIN,2021
320,32,JAWA BARAT,3275,KOTA BEKASI,84.91,POIN,2021
321,32,JAWA BARAT,3276,KOTA DEPOK,84.03,POIN,2021
322,32,JAWA BARAT,3277,KOTA CIMAHI,83.4,POIN,2021
323,32,JAWA BARAT,3278,KOTA TASIKMALAYA,80.52,POIN,2021
