,tahun,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,kategori_pendidikan,jml_kelompok_pendidikan
199,2018,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,PAUD,0
201,2018,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,TIDAK SEKOLAH,0
202,2018,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,SD,7
203,2018,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,SLTP,11
204,2018,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,SLTA,19
205,2018,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,PERGURUAN TINGGI,1
206,2018,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,TK,2
207,2018,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,PAUD,0
209,2018,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,TIDAK SEKOLAH,0
210,2018,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,SD,0
211,2018,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,SLTP,0
212,2018,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,SLTA,2
213,2018,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,PERGURUAN TINGGI,0
214,2018,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,TK,0
215,2018,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,PAUD,0
217,2018,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,TIDAK SEKOLAH,0
218,2018,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,SD,1
219,2018,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,SLTP,0
220,2018,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,SLTA,3
221,2018,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,PERGURUAN TINGGI,0
222,2018,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,TK,0
223,2018,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,PAUD,0
225,2018,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,TIDAK SEKOLAH,0
226,2018,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,SD,2
227,2018,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,SLTP,0
228,2018,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,SLTA,1
229,2018,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,PERGURUAN TINGGI,1
230,2018,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,TK,1
231,2018,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,PAUD,0
233,2018,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,TIDAK SEKOLAH,1
234,2018,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,SD,3
235,2018,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,SLTP,4
236,2018,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,SLTA,9
237,2018,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,PERGURUAN TINGGI,3
238,2018,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,TK,1
239,2018,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,PAUD,0
241,2018,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,TIDAK SEKOLAH,0
242,2018,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,SD,1
243,2018,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,SLTP,0
244,2018,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,SLTA,0
245,2018,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,PERGURUAN TINGGI,1
246,2018,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,TK,0
247,2018,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,PAUD,0
249,2018,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,TIDAK SEKOLAH,0
250,2018,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,SD,0
251,2018,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,SLTP,1
252,2018,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,SLTA,1
253,2018,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,PERGURUAN TINGGI,0
254,2018,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,TK,0
